Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
940,Bangalore,Bangalore,Onion,Local,FAQ,1800,2400,2100,10-Feb-22
941,Bangalore,Bangalore,Onion,Local,FAQ,1800,2500,2150,23-Feb-22
942,Bangalore,Bangalore,Onion,Local,FAQ,2000,2600,2300,21-Jan-22
943,Bangalore,Bangalore,Onion,Onion,FAQ,900,1100,1000,13-Apr-22
944,Bangalore,Bangalore,Onion,Onion,FAQ,900,1300,1100,12-May-23
945,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1300,19-Apr-22
946,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,21-Feb-23
947,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1250,08-Apr-22
948,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1300,07-Jun-22
949,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1500,1300,15-Apr-23
950,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1300,27-Feb-23
951,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,01-Apr-22
952,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,17-Jul-23
953,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,22-Jun-22
954,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,02-Aug-23
955,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,500,400,24-Feb-23
956,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,1000,600,20-Mar-24
957,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,600,11-Apr-23
958,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,700,600,18-Apr-23
959,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,1000,650,06-Dec-22
960,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,07-Oct-22
961,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,26-Apr-23
962,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,29-Sep-22
963,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,30-Sep-22
964,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,900,600,06-May-22
965,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,600,550,28-Apr-22
966,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,21-Jan-23
967,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,07-Dec-22
968,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,15-Dec-22
969,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,17-Dec-22
970,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,17-Nov-22
971,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,700,04-May-24
972,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,700,19-Apr-24
973,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1200,800,30-Mar-24
974,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1000,800,23-Jun-22
975,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1000,800,16-May-24
976,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,900,04-Jul-23
977,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,13-May-24
978,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,14-Feb-24
979,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,1000,18-Jul-23
980,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,04-Jan-24
981,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2000,1500,10-Jun-24
982,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1500,2000,1800,05-Oct-23
983,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3500,3000,09-Nov-23
984,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2500,3500,3000,15-Nov-23
985,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,22-May-23
986,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,13-May-22
987,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,27-May-22
988,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,700,27-Feb-23
989,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,03-Aug-22
990,Bangalore,Bangalore,Onion,Local,FAQ,700,1000,900,06-May-22
991,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,05-Aug-22
992,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,08-Jun-23
993,Bangalore,Bangalore,Onion,Local,FAQ,800,1000,900,23-May-22
994,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,31-May-23
995,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1100,28-Sep-22
996,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,02-Feb-23
997,Bangalore,Bangalore,Onion,Local,FAQ,1000,1200,1000,09-Jan-23
998,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,16-Jun-22
999,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,18-Jun-22
1000,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,05-Mar-24
1001,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,13-Jul-22
1002,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,16-Nov-22
1003,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,20-Mar-23
1004,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1500,20-May-24
1005,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1600,1500,06-Jan-23
1006,Bangalore,Bangalore,Onion,Onion,FAQ,1400,2000,1700,27-Mar-24
1007,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1700,1600,13-Jan-23
1008,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,05-Jul-22
1009,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,12-Jul-22
1010,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2200,1900,05-Dec-22
1011,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2400,1800,02-Feb-24
1012,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,23-Apr-24
1013,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,29-Apr-24
1014,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2200,1900,16-May-24
1015,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2400,28-Aug-23
1016,Bangalore,Bangalore,Onion,Onion,FAQ,2000,3000,2500,14-Dec-23
1017,Bangalore,Bangalore,Onion,Onion,FAQ,2500,3500,3200,02-Nov-22
1018,Bangalore,Bangalore,Onion,Onion,FAQ,4000,4600,4200,04-Dec-23
1019,Bangalore,Bangalore,Onion,Onion,FAQ,4500,5200,5000,25-Oct-23
1020,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,28-Apr-23
1021,Bangalore,Bangalore,Onion,Puna,FAQ,800,1300,1250,28-Mar-23
1022,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,03-Mar-23
1023,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1400,1200,27-Apr-23
1024,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1400,1300,25-Apr-22
1025,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,04-Feb-23
1026,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1400,24-Mar-22
1027,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1700,1400,01-Jun-23
1028,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1700,1400,03-Jun-23
1029,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,01-Sep-22
1030,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,09-Dec-22
1031,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,12-Dec-22
1032,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,16-Mar-22
1033,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,30-Aug-22
1034,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1900,1400,07-Jun-22
1035,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1700,13-Dec-22
1036,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1700,15-Feb-24
1037,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1800,23-Jun-22
1038,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2300,1800,22-Dec-22
1039,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2500,1750,01-Feb-22
1040,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2600,2200,23-Nov-22
1041,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2800,2200,25-Oct-22
1042,Bangalore,Bangalore,Onion,Puna,FAQ,1200,1500,1300,06-May-22
1043,Bangalore,Bangalore,Onion,Puna,FAQ,1400,1700,1500,07-May-22
1044,Bangalore,Bangalore,Onion,Puna,FAQ,1400,1700,1500,10-May-22
1045,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,11-Jul-22
1046,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,30-Jul-22
1047,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2300,2000,08-Jan-24
1048,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2200,01-Jun-24
1049,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2500,2200,07-May-24
1050,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2900,2700,05-Sep-23
1051,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3200,2600,10-Feb-22
1052,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3200,2800,08-Nov-22
1053,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3500,2750,01-Jan-22
1054,Bangalore,Bangalore,Onion,Puna,FAQ,3500,5000,4300,04-Nov-23
1055,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,15-Apr-24
1056,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,16-Apr-24
1057,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,17-Apr-24
1058,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,25-Jan-22
1059,Bangalore,Bangalore,Onion,Local,FAQ,1200,2000,1600,02-Mar-22
1060,Bangalore,Bangalore,Onion,Local,FAQ,1200,2000,1700,14-Nov-22
1061,Bangalore,Bangalore,Onion,Local,FAQ,1400,1600,1500,17-Feb-24
1062,Bangalore,Bangalore,Onion,Local,FAQ,1400,1600,1500,20-Jul-23
1063,Bangalore,Bangalore,Onion,Local,FAQ,1400,1600,1500,25-Jul-23
1064,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,03-Jun-24
1065,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,07-Jun-24
1066,Bangalore,Bangalore,Onion,Local,FAQ,1600,2000,1800,29-Feb-24
1067,Bangalore,Bangalore,Onion,Local,FAQ,2000,2400,2200,04-Oct-23
1068,Bangalore,Bangalore,Onion,Local,FAQ,3000,3800,3600,02-Dec-23
1069,Bangalore,Bangalore,Onion,Onion,FAQ,500,800,700,19-Sep-22
1070,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1200,1100,29-Apr-22
1071,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1300,1200,25-Aug-22
1072,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,06-Aug-22
1073,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,13-Jun-23
1074,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,25-Apr-23
1075,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,15-Jun-23
1076,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1500,1400,17-Jun-23
1077,Bangalore,Bangalore,Onion,Onion,FAQ,1300,1600,1500,25-Jan-24
1078,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1600,14-Jun-22
1079,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1700,1600,12-Jan-23
1080,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,30-Jul-22
1081,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,1800,15-Dec-22
1082,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,17-Oct-22
1083,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,29-Oct-22
1084,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1700,19-Jan-24
1085,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1700,21-Jul-23
1086,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2200,1800,01-Mar-24
1087,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2000,1800,07-Jul-23
1088,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2300,2000,14-Mar-24
1089,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2000,1800,10-Aug-23
1090,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2300,2000,14-May-24
1091,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2400,2200,29-Dec-23
1092,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2500,2300,02-Sep-23
1093,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2500,2300,10-Nov-22
1094,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2600,2400,25-Aug-23
1095,Bangalore,Bangalore,Onion,Onion,FAQ,2400,2800,2500,16-Oct-23
1096,Bangalore,Bangalore,Onion,Onion,FAQ,2500,3500,3200,03-Nov-22
1097,Bangalore,Bangalore,Onion,Onion,FAQ,2500,3500,3200,05-Nov-22
1098,Bangalore,Bangalore,Onion,Onion,FAQ,3800,4400,4000,28-Nov-23
1099,Bangalore,Bangalore,Onion,Onion,FAQ,4000,4600,4200,05-Dec-23
1100,Bangalore,Bangalore,Onion,Onion,FAQ,4400,5000,4500,08-Nov-23
1101,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,02-May-23
1102,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,29-Apr-23
1103,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,06-Mar-23
1104,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,20-Mar-23
1105,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1400,21-Apr-22
1106,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1400,25-Mar-22
1107,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,05-Apr-22
1108,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,05-Aug-22
1109,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1500,30-Mar-22
1110,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1700,1400,30-May-23
1111,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1500,27-Jul-23
1112,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,06-Jun-22
1113,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,13-Jun-23
1114,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1600,26-Mar-24
1115,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1500,11-Mar-22
1116,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2000,1700,20-Jun-22
1117,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2100,1700,16-Apr-24
1118,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2200,1600,13-Sep-22
1119,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2400,1900,30-Sep-22
1120,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2600,2200,19-Nov-22
1121,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2800,2200,13-Oct-22
1122,Bangalore,Bangalore,Onion,Puna,FAQ,1000,2800,2200,15-Oct-22
1123,Bangalore,Bangalore,Onion,Puna,FAQ,1400,1700,1500,09-May-22
1124,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,06-Jul-22
1125,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,08-Aug-23
1126,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,12-Jul-22
1127,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2200,1800,30-Jun-22
1128,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2300,2000,06-Jan-24
1129,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2500,2000,26-Dec-22
1130,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2600,2000,20-May-24
1131,Bangalore,Bangalore,Onion,Puna,FAQ,1500,2600,2000,21-May-24
1132,Bangalore,Bangalore,Onion,Puna,FAQ,1500,3000,2400,14-Nov-22
1133,Bangalore,Bangalore,Onion,Puna,FAQ,1600,1900,1700,03-Jun-22
1134,Bangalore,Bangalore,Onion,Puna,FAQ,1800,2400,2100,06-Jan-23
1135,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2700,2400,01-Sep-23
1136,Bangalore,Bangalore,Onion,Puna,FAQ,2000,2800,2500,25-Aug-23
1137,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3000,2500,05-Jan-22
1138,Bangalore,Bangalore,Onion,Puna,FAQ,2000,3200,2600,24-Feb-22
1139,Bangalore,Bangalore,Onion,Puna,FAQ,2500,4000,3000,12-Dec-23
1140,Bangalore,Bangalore,Onion,Puna,FAQ,2500,4000,3400,31-Oct-22
1141,Bangalore,Bangalore,Onion,Puna,FAQ,3500,5000,4300,03-Nov-23
1142,Bangalore,Bangalore,Onion,Puna,FAQ,4000,5200,4400,05-Dec-23
1143,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,100,200,150,19-Sep-22
1144,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,12-Oct-22
1145,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,13-Oct-22
1146,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,15-Sep-22
1147,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,800,600,27-Oct-22
1148,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,200,1000,800,02-Dec-22
1149,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,300,1000,650,05-Dec-22
1150,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,24-Aug-22
1151,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,24-May-22
1152,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,600,500,29-Apr-22
1153,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,06-Jun-22
1154,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,10-Jun-22
1155,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,600,31-May-23
1156,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,01-Oct-22
1157,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,400,800,700,05-Apr-22
1158,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,600,01-Mar-24
1159,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,13-Mar-23
1160,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,19-Jan-23
1161,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,700,24-Mar-23
1162,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,04-Jul-22
1163,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,08-Jul-22
1164,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,15-Dec-23
1165,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,16-Dec-22
1166,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,20-Dec-22
1167,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,800,29-Nov-22
1168,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,500,1000,1000,20-Jan-24
1169,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,600,1200,1000,09-Jan-24
1170,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,700,1000,800,10-Feb-23
1171,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,800,1200,900,05-Jul-23
1172,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1200,23-Dec-22
1173,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,13-Sep-23
1174,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1600,1500,28-Aug-23
1175,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,3000,2500,04-Nov-23
1176,Bangalore,Bangalore,Onion,Local,FAQ,500,800,700,01-Apr-23
1177,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,20-Feb-23
1178,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,24-Feb-23
1179,Bangalore,Bangalore,Onion,Local,FAQ,600,800,700,28-Apr-23
1180,Bangalore,Bangalore,Onion,Local,FAQ,600,900,750,16-Apr-22
1181,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,06-Mar-23
1182,Bangalore,Bangalore,Onion,Local,FAQ,700,900,800,26-May-22
1183,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1000,25-Mar-22
1184,Bangalore,Bangalore,Onion,Local,FAQ,800,1200,1100,07-Oct-22
1185,Bangalore,Bangalore,Onion,Local,FAQ,800,1400,1200,21-Mar-22
1186,Bangalore,Bangalore,Onion,Local,FAQ,1000,1300,1100,19-Jun-23
1187,Bangalore,Bangalore,Onion,Local,FAQ,1000,1400,1200,17-Jun-22
1188,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1200,16-Jan-23
1189,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,19-Jan-24
1190,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1300,27-Mar-23
1191,Bangalore,Bangalore,Onion,Local,FAQ,1000,1500,1400,25-Oct-22
1192,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1200,03-Feb-24
1193,Bangalore,Bangalore,Onion,Local,FAQ,1000,1600,1400,28-May-24
1194,Bangalore,Bangalore,Onion,Local,FAQ,1000,1700,1300,14-Mar-24
1195,Bangalore,Bangalore,Onion,Local,FAQ,1000,1700,1400,05-Apr-24
1196,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1500,16-May-24
1197,Bangalore,Bangalore,Onion,Local,FAQ,1000,1800,1500,19-Dec-22
1198,Bangalore,Bangalore,Onion,Local,FAQ,1200,1500,1300,12-Jul-23
1199,Bangalore,Bangalore,Onion,Local,FAQ,1200,1600,1400,22-Jan-24
1200,Bangalore,Bangalore,Onion,Local,FAQ,1200,1700,1400,02-May-24
1201,Bangalore,Bangalore,Onion,Local,FAQ,1200,1800,1500,03-Feb-22
1202,Bangalore,Bangalore,Onion,Local,FAQ,1300,1500,1400,04-Jul-23
1203,Bangalore,Bangalore,Onion,Local,FAQ,1500,1800,1600,27-Dec-22
1204,Bangalore,Bangalore,Onion,Local,FAQ,1500,2000,1800,04-Jan-24
1205,Bangalore,Bangalore,Onion,Local,FAQ,2000,2600,2300,19-Jan-22
1206,Bangalore,Bangalore,Onion,Local,FAQ,2000,2600,2300,20-Jan-22
1207,Bangalore,Bangalore,Onion,Local,FAQ,2000,2800,2400,10-Jun-24
1208,Bangalore,Bangalore,Onion,Local,FAQ,3000,4000,3600,05-Dec-23
1209,Bangalore,Bangalore,Onion,Onion,FAQ,500,800,700,20-Sep-22
1210,Bangalore,Bangalore,Onion,Onion,FAQ,800,1000,900,18-May-22
1211,Bangalore,Bangalore,Onion,Onion,FAQ,800,1000,900,18-May-23
1212,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1400,1200,20-Feb-23
1213,Bangalore,Bangalore,Onion,Onion,FAQ,1000,1600,1400,09-Jun-23
1214,Bangalore,Bangalore,Onion,Onion,FAQ,1100,1300,1200,05-May-22
1215,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1300,1250,04-May-22
1216,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1200,13-Feb-23
1217,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1400,1300,08-Feb-23
1218,Bangalore,Bangalore,Onion,Onion,FAQ,1200,1500,1300,26-Jun-23
1219,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1500,13-Mar-23
1220,Bangalore,Bangalore,Onion,Onion,FAQ,1400,1800,1500,16-Mar-23
1221,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1700,1600,10-Jan-23
1222,Bangalore,Bangalore,Onion,Onion,FAQ,1500,1800,1700,07-Jul-22
1223,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2000,1800,18-Jan-23
1224,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2200,1700,09-Dec-22
1225,Bangalore,Bangalore,Onion,Onion,FAQ,1500,2400,2000,16-Nov-22
1226,Bangalore,Bangalore,Onion,Onion,FAQ,1600,1800,1600,20-Oct-22
1227,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2000,1800,20-Jan-23
1228,Bangalore,Bangalore,Onion,Onion,FAQ,1600,2200,1800,16-Feb-24
1229,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,19-Apr-24
1230,Bangalore,Bangalore,Onion,Onion,FAQ,1700,2100,1800,22-Apr-24
1231,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2200,1900,15-May-24
1232,Bangalore,Bangalore,Onion,Onion,FAQ,1800,2600,2000,22-Nov-22
1233,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2400,2200,06-Jan-24
1234,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2500,2300,30-Aug-23
1235,Bangalore,Bangalore,Onion,Onion,FAQ,2000,2700,2400,01-Dec-22
1236,Bangalore,Bangalore,Onion,Onion,FAQ,4400,5000,4500,07-Nov-23
1237,Bangalore,Bangalore,Onion,Puna,FAQ,700,1100,900,17-May-23
1238,Bangalore,Bangalore,Onion,Puna,FAQ,700,1100,900,20-May-23
1239,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,06-Apr-23
1240,Bangalore,Bangalore,Onion,Puna,FAQ,800,1200,1000,21-Feb-23
1241,Bangalore,Bangalore,Onion,Puna,FAQ,800,1400,1200,29-Apr-22
1242,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1300,1100,07-Mar-23
1243,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1400,1200,25-Apr-23
1244,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,27-Mar-23
1245,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1500,1300,31-Jan-23
1246,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1600,1300,29-Jan-24
1247,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1700,1400,02-Jun-23
1248,Bangalore,Bangalore,Onion,Puna,FAQ,1000,1800,1400,08-Mar-22
